Year,Nominee,Movie,Winner
2006(79th),Penélope Cruz,Volver,False
2006(79th),Judi Dench,Notes on a Scandal,False
2006(79th),Meryl Streep,The Devil Wears Prada,False
2006(79th),Kate Winslet,Little Children,False
2007(80th),Marion Cotillard ‡,La Vie en Rose,True
2007(80th),Cate Blanchett,Elizabeth: The Golden Age,False
2007(80th),Julie Christie,Away from Her,False
2007(80th),Laura Linney,The Savages,False
2007(80th),Elliot Page,Juno,False
2008(81st),Kate Winslet ‡,The Reader,True
2008(81st),Anne Hathaway,Rachel Getting Married,False
2008(81st),Angelina Jolie,Changeling,False
2008(81st),Melissa Leo,Frozen River,False
2008(81st),Meryl Streep,Doubt,False
2009(82nd),Sandra Bullock ‡,The Blind Side,True
2009(82nd),Helen Mirren,The Last Station,False
2009(82nd),Carey Mulligan,An Education,False
2009(82nd),Gabourey Sidibe,Precious,False
2009(82nd),Meryl Streep,Julie & Julia,False
2010(83rd),Natalie Portman ‡,Black Swan,True
2010(83rd),Annette Bening,The Kids Are All Right,False
2010(83rd),Nicole Kidman,Rabbit Hole,False
2010(83rd),Jennifer Lawrence,Winter's Bone,False
2010(83rd),Michelle Williams,Blue Valentine,False
2011(84th),Meryl Streep ‡,The Iron Lady,True
2011(84th),Glenn Close,Albert Nobbs,False
2011(84th),Viola Davis,The Help,False
2011(84th),Rooney Mara,The Girl with the Dragon Tattoo,False
2011(84th),Michelle Williams,My Week with Marilyn,False
2012(85th),Jennifer Lawrence ‡,Silver Linings Playbook,True
2012(85th),Jessica Chastain,Zero Dark Thirty,False
2012(85th),Emmanuelle Riva,Amour,False
2012(85th),Quvenzhané Wallis,Beasts of the Southern Wild,False
2012(85th),Naomi Watts,The Impossible,False
2013(86th),Cate Blanchett ‡,Blue Jasmine,True
2013(86th),Amy Adams,American Hustle,False
2013(86th),Sandra Bullock,Gravity,False
2013(86th),Judi Dench,Philomena,False
2013(86th),Meryl Streep,August: Osage County,False
2014(87th),Julianne Moore ‡,Still Alice,True
2014(87th),Marion Cotillard,"Two Days, One Night",False
2014(87th),Felicity Jones,The Theory of Everything,False
2014(87th),Rosamund Pike,Gone Girl,False
2014(87th),Reese Witherspoon,Wild,False
2015(88th),Brie Larson ‡,Room,True
2015(88th),Cate Blanchett,Carol,False
2015(88th),Jennifer Lawrence,Joy,False
2015(88th),Charlotte Rampling,45 Years,False
2015(88th),Saoirse Ronan,Brooklyn,False
2016(89th),Emma Stone ‡,La La Land,True
2016(89th),Isabelle Huppert,Elle,False
2016(89th),Ruth Negga,Loving,False
2016(89th),Natalie Portman,Jackie,False
2016(89th),Meryl Streep,Florence Foster Jenkins,False
2017(90th),Frances McDormand ‡,"Three Billboards Outside Ebbing, Missouri",True
2017(90th),Sally Hawkins,The Shape of Water,False
2017(90th),Margot Robbie,"I, Tonya",False
2017(90th),Saoirse Ronan,Lady Bird,False
2017(90th),Meryl Streep,The Post,False
2018(91st),Olivia Colman ‡,The Favourite,True
2018(91st),Yalitza Aparicio,Roma,False
2018(91st),Glenn Close,The Wife,False
2018(91st),Lady Gaga,A Star Is Born,False
2018(91st),Melissa McCarthy,Can You Ever Forgive Me?,False
2019(92nd),Renée Zellweger ‡,Judy,True
2019(92nd),Cynthia Erivo,Harriet,False
2019(92nd),Scarlett Johansson,Marriage Story,False
2019(92nd),Saoirse Ronan,Little Women,False
2019(92nd),Charlize Theron,Bombshell,False
2020/21(93rd)[99],Frances McDormand ‡,Nomadland,True
2020/21(93rd)[99],Viola Davis,Ma Rainey's Black Bottom,False
2020/21(93rd)[99],Andra Day,The United States vs. Billie Holiday,False
2020/21(93rd)[99],Vanessa Kirby,Pieces of a Woman,False
2020/21(93rd)[99],Carey Mulligan,Promising Young Woman,False
2021(94th),Jessica Chastain ‡,The Eyes of Tammy Faye,True
2021(94th),Olivia Colman,The Lost Daughter,False
2021(94th),Penélope Cruz,Parallel Mothers,False
2021(94th),Nicole Kidman,Being the Ricardos,False
2021(94th),Kristen Stewart,Spencer,False
2022(95th),Michelle Yeoh ‡,Everything Everywhere All at Once,True
2022(95th),Cate Blanchett,Tár,False
2022(95th),Ana de Armas,Blonde,False
2022(95th),Andrea Riseborough,To Leslie,False
2022(95th),Michelle Williams,The Fabelmans,False
2023(96th),Emma Stone ‡,Poor Things,True
2023(96th),Annette Bening,Nyad,False
2023(96th),Lily Gladstone,Killers of the Flower Moon,False
2023(96th),Sandra Hüller,Anatomy of a Fall,False
2023(96th),Carey Mulligan,Maestro,False
2024(97th),Mikey Madison ‡,Anora,True
2024(97th),Cynthia Erivo,Wicked,False
2024(97th),Karla Sofía Gascón,Emilia Pérez,False
2024(97th),Demi Moore,The Substance,False
2024(97th),Fernanda Torres,I'm Still Here,False
2025(98th),Jessie Buckley,Hamnet,False
2025(98th),Rose Byrne,If I Had Legs I'd Kick You,False
2025(98th),Kate Hudson,Song Sung Blue,False
2025(98th),Renate Reinsve,Sentimental Value,False
2025(98th),Emma Stone,Bugonia,False
